year_month,inflow
2000-10,151.29718982786017
2000-11,141.04264439058335
2000-12,168.7199997158755
2001-01,159.39570221091648
2001-02,182.87008233667487
2001-03,299.6489251152259
2001-04,235.85454505736638
2001-05,221.29983433807487
2001-06,92.29685934870432
2001-07,93.50677670203872
2001-08,81.40363622655263
2001-09,67.10876021756735
2001-10,137.2799997688205
2001-11,128.88396672510817
2001-12,308.78875981057826
2002-01,406.32198278682813
2002-02,245.08561942198656
2002-03,356.1877679952211
2002-04,367.64826384369024
2002-05,238.958677283544
2002-06,96.04561967296992
2002-07,83.6727271318224
2002-08,98.04495851257823
2002-09,126.65057829911711
2002-10,115.8644626148016
2002-11,145.79305760572416
2002-12,568.7504122653647
2003-01,646.3219823826681
2003-02,377.3613216785731
2003-03,449.307767838407
2003-04,497.5199991621763
2003-05,682.2842963716944
2003-06,310.7008259230608
2003-07,156.00793362158015
2003-08,142.96661132949217
2003-09,138.55140472535712
2003-10,122.61619814062176
2003-11,145.62842950682784
2003-12,382.6512390250368
2004-01,380.0191729137667
2004-02,682.9309079408534
2004-03,587.8651229769773
2004-04,398.70545387403456
2004-05,273.7051235060227
2004-06,136.4528923321968
2004-07,131.17884275430143
2004-08,149.404958426088
2004-09,114.04165270051584
2004-10,132.3728923390675
2004-11,149.87504106992446
2004-12,240.0198343065504
2005-01,301.42611519487775
2005-02,282.39471026824896
2005-03,538.8952057040707
2005-04,458.13421410453503
2005-05,880.363634881104
2005-06,336.40264406159713
2005-07,187.48958646112703
2005-08,183.01289225378974
2005-09,159.6495865080096
2005-10,128.35834689128257
2005-11,135.3818179538352
2005-12,1150.575865831025
2006-01,1001.5239652555824
2006-02,671.9107426701552
2006-03,1096.415204765207
2006-04,1591.8624766581465
2006-05,1129.241650990919
2006-06,408.4284290642726
2006-07,191.99206579238782
2006-08,174.2241319380115
2006-09,135.36991712740897
2006-10,158.51504105537472
2006-11,190.02842943205823
2006-12,315.6595036006608
2007-01,183.73685919471936
2007-02,378.4125613462243
2007-03,341.6727266973504
2007-04,212.62016493120385
2007-05,166.48859476095552
2007-06,88.09190067809952
2007-07,110.27305766553984
2007-08,107.57950395106751
2007-09,78.10115689327104
2007-10,116.36231385363263
2007-11,111.9272725387872
2007-12,131.60727250564608
2008-01,188.69156993017728
2008-02,198.30347074043712
2008-03,280.2307433297443
2008-04,250.76826404051616
2008-05,301.68991684732606
2008-06,86.08462795420704
2008-07,61.8049585736064
2008-08,93.68330562736128
2008-09,123.35603285011968
2008-10,84.3768593620416
2008-11,119.07966922095743
2008-12,106.6809915558864
2009-01,131.08561961396256
2009-02,383.7778505933875
2009-03,646.6333873408214
2009-04,333.20727216615165
2009-05,492.4046272699641
2009-06,127.59074358679008
2009-07,123.62380144471008
2009-08,136.19702456403263
2009-09,107.73619816567968
2009-10,139.1960328234451
2009-11,88.67305770191423
2009-12,92.280991580136
2010-01,270.18644582599774
2010-02,264.33917310857186
2010-03,352.90710684372095
2010-04,502.4429743604976
2010-05,546.6624784182634
2010-06,439.7652885156336
2010-07,225.74677647934655
2010-08,175.13454515961888
2010-09,157.57685923877278
2010-10,172.4727269822832
2010-11,177.91140465907486
2010-12,691.733552554129
2011-01,404.4515695668374
2011-02,313.15239616686625
2011-03,1043.2244610531272
2011-04,1069.384461009074
2011-05,941.4545438691359
2011-06,760.5004945870858
2011-07,350.04099114606817
2011-08,161.82942121508256
2011-09,142.50049562779776
2011-10,167.84528897354687
2011-11,166.80198319017984
2011-12,140.15603282182846
2012-01,161.47636336443745
2012-02,124.7999997898368
2012-03,545.8056189155741
2012-04,564.8112387182794
2012-05,338.70545397507453
2012-06,132.90842952824832
2012-07,142.4687600906611
2012-08,67.5272726135568
2012-09,69.55636351923071
2012-10,117.09619814991744
2012-11,270.90049541157214
2012-12,817.4697506894965
2013-01,293.4446276050128
2013-02,230.71537151230174
2013-03,311.555701954679
2013-04,270.17057805742945
2013-05,148.05818156885184
2013-06,109.44396675784512
2013-07,87.52462795178208
2013-08,83.45256184293696
2013-09,64.28033047026432
2013-10,87.30644613396768
2013-11,63.34809906687552
2013-12,58.26842965394208
2014-01,77.62512383622143
2014-02,186.51768563631742
2014-03,350.95933825195965
2014-04,216.23999963585183
2014-05,89.31768580000224
2014-06,76.95669408528096
2014-07,80.50314036030048
2014-08,61.031404855900796
2014-09,93.66347091665088
2014-10,51.966942061248
2014-11,55.7752065176448
2014-12,465.8380157444544
2015-01,135.33223117705919
2015-02,329.1947101894377
2015-03,115.74148740839712
2015-04,78.11305771969728
2015-05,50.858181732536636
2015-06,65.36925608826527
2015-07,62.37818171313696
2015-08,83.24033043833568
2015-09,85.38247919505888
